Query Acc.ver,Subject Acc.ver,Per. identity,Alignment Length,Mismatches,Gap Opens,Q. start,Q. end,S. start,S. end,E value,Bit Score
gene0203,CP054425.1,100,567,0,0,1,567,248677,249243,0,1048
gene0204,CP054425.1,100,204,0,0,1,204,249653,249450,4.78E-100,377
gene0205,CP054425.1,100,1575,0,0,1,1575,249806,251380,0,2909
gene0206,CP054425.1,100,1035,0,0,1,1035,252629,251595,0,1912
gene0207,CP054425.1,100,822,0,0,1,822,253474,252653,0,1519
gene0208,CP054425.1,100,273,0,0,1,273,253670,253942,2.95E-138,505
gene0209,CP054425.1,100,1263,0,0,1,1263,254269,255531,0,2333
gene0210,CP054425.1,100,1296,0,0,1,1296,255839,257134,0,2394
gene0211,CP054425.1,100,339,0,0,1,339,257136,257474,7.71E-175,627
gene0212,CP054425.1,100,1842,0,0,1,1842,257567,259408,0,3402
gene0213,CP054425.1,100,1446,0,0,1,1446,260887,259442,0,2671
gene0214,CP054425.1,100,1461,0,0,1,1461,261162,262622,0,2699
gene0215,CP054425.1,100,1482,0,0,1,1482,262625,264106,0,2737
gene0216,CP054425.1,100,753,0,0,1,753,264207,264959,0,1391
gene0217,CP054425.1,100,288,0,0,1,288,265108,265395,1.44E-146,532
gene0218,CP054425.1,100,1821,0,0,1,1821,265392,267212,0,3363
gene0219,CP054425.1,100,837,0,0,1,837,267277,268113,0,1546
gene0220,CP054425.1,100,1014,0,0,1,1014,269204,268191,0,1873
gene0221,CP054425.1,100,291,0,0,1,291,269463,269753,3.13E-148,538
gene0222,CP054425.1,100,660,0,0,1,660,269810,270469,0,1219
gene0223,CP054425.1,100,249,0,0,1,249,270530,270778,5.83E-125,460
gene0224,CP054425.1,100,447,0,0,1,447,270798,271244,0,826
gene0226,CP054425.1,100,213,0,0,1,213,271775,271987,4.98E-105,394
gene0227,CP054425.1,100,693,0,0,1,693,272727,272035,0,1280
gene0228,CP054425.1,100,732,0,0,1,732,273484,272753,0,1352
gene0229,CP054425.1,100,609,0,0,1,609,274067,273459,0,1125
gene0230,CP054425.1,100,471,0,0,1,471,274696,274226,0,870
gene0231,CP054425.1,100,603,0,0,1,603,275708,276310,0,1114
gene0232,CP054425.1,100,1167,0,0,1,1167,276322,277488,0,2156
gene0233,CP054425.1,100,1206,0,0,1,1206,277622,278827,0,2228
gene0234,CP054425.1,100,174,0,0,1,174,279103,278930,1.87E-83,322
gene0235,CP054425.1,100,1101,0,0,1,1101,1600230,1599130,0,2034
gene0236,CP054425.1,100,822,0,0,1,822,1601185,1600364,0,1519
gene0237,CP054425.1,100,1473,0,0,1,1473,1602719,1601247,0,2721
gene0238,CP054425.1,100,2406,0,0,1,2406,1602807,1605212,0,4444
gene0239,CP054425.1,100,861,0,0,1,861,1605296,1606156,0,1591
gene0240,CP054425.1,100,2856,0,0,1,2856,1609047,1606192,0,5275
gene0241,CP054425.1,100,915,0,0,1,915,1609990,1609076,0,1690
gene0242,CP054425.1,100,1317,0,0,1,1317,1611785,1610469,0,2433
gene0243,CP054425.1,100,129,0,0,1,129,1611804,1611932,1.31E-58,239
gene0244,CP054425.1,100,873,0,0,1,873,1612261,1613133,0,1613
gene0245,CP054425.1,100,432,0,0,1,432,1613441,1613872,0,798
gene0246,CP054425.1,100,1536,0,0,1,1536,1613927,1615462,0,2837
gene0247,CP054425.1,100,1701,0,0,1,1701,1615459,1617159,0,3142
gene0248,CP054425.1,100,1866,0,0,1,1866,1617216,1619081,0,3446
gene0249,CP054425.1,100,966,0,0,1,966,1619177,1620142,0,1784
gene0250,CP054425.1,100,666,0,0,1,666,1620236,1620901,0,1230
gene0251,CP114053.1,100,942,0,0,1,942,1562688,1561747,0,1740
gene0252,CP054425.1,100,1419,0,0,1,1419,1623539,1622121,0,2621
gene0256,CP054425.1,100,1455,0,0,1,1455,1625504,1624050,0,2687
gene0257,CP054425.1,100,711,0,0,1,711,1626261,1625551,0,1314
gene0258,CP054425.1,100,624,0,0,1,624,1626881,1626258,0,1153
gene0259,CP054425.1,100,345,0,0,1,345,1627431,1627087,3.64E-178,638
gene0260,CP054425.1,100,1467,0,0,1,1467,1629017,1627551,0,2710
gene0261,CP054425.1,100,1380,0,0,1,1380,1630580,1629201,0,2549
gene0262,CP054425.1,100,1248,0,0,1,1248,1631882,1630635,0,2305
gene0263,CP054425.1,100,531,0,0,1,531,1632463,1631933,0,981
gene0264,CP054425.1,100,843,0,0,1,843,1633476,1632634,0,1557
gene0265,CP054425.1,100,174,0,0,1,174,1633477,1633650,1.87E-83,322
gene0266,CP054425.1,100,2376,0,0,1,2376,1636054,1633679,0,4388
gene0267,CP054425.1,100,225,0,0,1,225,1636556,1636332,1.14E-111,416
gene0268,CP054425.1,100,1698,0,0,1,1698,1638306,1636609,0,3136
gene0269,CP054425.1,100,1152,0,0,1,1152,1639806,1638655,0,2128
gene0270,CP054425.1,100,687,0,0,1,687,1640581,1639895,0,1269
gene0271,CP054425.1,100,939,0,0,1,939,1641516,1640578,0,1735
gene0272,CP054425.1,100,279,0,0,1,279,1641791,1641513,1.40E-141,516
gene0273,CP054425.1,100,948,0,0,1,948,1642843,1641896,0,1751
gene0274,CP054425.1,100,114,0,0,1,114,1642879,1642992,2.40E-50,211
gene0275,CP054425.1,100,2478,0,0,1,2478,1645614,1643137,0,4577
gene0276,CP054425.1,100,132,0,0,1,132,1645615,1645746,2.91E-60,244
gene0277,CP054425.1,100,1548,0,0,1,1548,1646075,1647622,0,2859
gene0278,CP054425.1,100,189,0,0,1,189,1647613,1647801,9.52E-92,350
gene0279,CP054425.1,100,1890,0,0,1,1890,1648179,1650068,0,3491
gene0280,CP054425.1,100,1032,0,0,1,1032,1650145,1651176,0,1906
gene0282,CP054425.1,100,1383,0,0,1,1383,1651458,1652840,0,2555
gene0283,CP054425.1,100,393,0,0,1,393,1652844,1653236,0,726
gene0284,CP054425.1,100,606,0,0,1,606,1653326,1653931,0,1120
gene0287,CP054425.1,100,1713,0,0,1,1713,1654470,1656182,0,3164
gene0288,CP054425.1,100,1230,0,0,1,1230,1656394,1657623,0,2272
gene0289,CP054425.1,100,1269,0,0,1,1269,1659003,1657735,0,2344
gene0290,CP054425.1,100,1173,0,0,1,1173,1660427,1659255,0,2167
gene0291,CP054425.1,100,156,0,0,1,156,1660693,1660538,1.65E-73,289
gene0293,CP054425.1,100,441,0,0,1,441,1661672,1662112,0,815
gene0294,CP054425.1,100,141,0,0,1,141,1662165,1662305,3.16E-65,261
gene0295,CP054425.1,100,651,0,0,1,651,1662931,1662281,0,1203
gene0296,CP054425.1,100,486,0,0,1,486,1663420,1662935,0,898
gene0297,CP054425.1,100,201,0,0,1,201,1663769,1663569,2.19E-98,372
gene0298,CP054425.1,100,2121,0,0,1,2121,1666027,1663907,0,3917
gene0299,CP054425.1,100,675,0,0,1,675,1666775,1666101,0,1247
gene0300,CP054425.1,100,930,0,0,1,930,1667750,1666821,0,1718
gene0301,CP054425.1,100,2868,0,0,1,2868,1670778,1667911,0,5297
gene0302,CP054425.1,100,786,0,0,1,786,1671609,1670824,0,1452
gene0304,CP054425.1,100,1467,0,0,1,1467,1673520,1672054,0,2710
gene0305,CP054425.1,100,987,0,0,1,987,1674649,1673663,0,1823
gene0306,CP054425.1,100,2112,0,0,1,2112,1676793,1674682,0,3901
gene0307,CP054425.1,100,1236,0,0,1,1236,1678047,1676812,0,2283
gene0308,CP054425.1,100,234,0,0,1,234,1678270,1678037,1.18E-116,433
gene0309,CP054425.1,100,120,0,0,1,120,1679125,1679244,1.19E-53,222
gene0310,CP054425.1,100,2073,0,0,1,2073,1679241,1681313,0,3829
gene0311,CP054425.1,100,408,0,0,1,408,1681596,1682003,0,754
gene0312,CP054425.1,100,618,0,0,1,618,1682615,1681998,0,1142
gene0313,CP054425.1,100,1476,0,0,1,1476,1684205,1682730,0,2726
gene0314,CP054425.1,100,876,0,0,1,876,1685201,1684326,0,1618
gene0315,CP054425.1,100,1182,0,0,1,1182,1685305,1686486,0,2183
gene0316,CP054425.1,100,891,0,0,1,891,1686658,1687548,0,1646
gene0317,CP054425.1,100,834,0,0,1,834,1687615,1688448,0,1541
gene0318,CP054425.1,100,525,0,0,1,525,1689023,1688499,0,970
gene0319,CP054425.1,100,594,0,0,1,594,1689725,1689132,0,1098
gene0320,CP054425.1,100,195,0,0,1,195,1690001,1689807,4.57E-95,361
gene0321,CP054425.1,100,1590,0,0,1,1590,1689972,1691561,0,2937
gene0322,CP054425.1,100,615,0,0,1,615,1691542,1692156,0,1136
gene0323,CP054425.1,100,723,0,0,1,723,1692192,1692914,0,1336
gene0324,CP054425.1,100,1074,0,0,1,1074,1692914,1693987,0,1984
gene0325,CP054425.1,100,723,0,0,1,723,1695079,1694357,0,1336
gene0326,CP054425.1,100,804,0,0,1,804,1695895,1695092,0,1485
gene0327,CP054425.1,100,363,0,0,1,363,1696050,1696412,0,671
gene0328,CP054425.1,100,1542,0,0,1,1542,1698056,1696515,0,2848
gene0329,CP054425.1,100,2823,0,0,1,2823,1700875,1698053,0,5214
gene0330,CP054425.1,100,261,0,0,1,261,1700862,1701122,1.31E-131,483
gene0331,CP054425.1,100,300,0,0,1,300,1701491,1701192,3.22E-153,555
gene0332,CP054425.1,100,378,0,0,1,378,1702244,1701867,0,699
gene0333,CP054425.1,100,939,0,0,1,939,1702237,1703175,0,1735
gene0334,CP054425.1,100,1827,0,0,1,1827,1703345,1705171,0,3374
gene0335,CP054425.1,100,279,0,0,1,279,1705285,1705563,1.40E-141,516
gene0336,CP054425.1,100,1488,0,0,1,1488,1707123,1705636,0,2748
gene0337,CP054425.1,100,912,0,0,1,912,1707319,1708230,0,1685
gene0338,CP054425.1,100,480,0,0,1,480,1708798,1708319,0,887
gene0339,CP054425.1,100,408,0,0,1,408,1709304,1708897,0,754
gene0340,CP054425.1,100,1461,0,0,1,1461,1710906,1709446,0,2699
gene0341,CP054425.1,100,570,0,0,1,570,1711622,1711053,0,1053
gene0343,CP054425.1,100,1002,0,0,1,1002,1713121,1712120,0,1851
gene0344,CP054425.1,100,567,0,0,1,567,1713750,1713184,0,1048
gene0345,CP054425.1,100,568,0,0,1,568,1714364,1713797,0,1050
gene0346,CP054425.1,100,1281,0,0,1,1281,1715735,1714455,0,2366
gene0347,CP054425.1,100,948,0,0,1,948,1716851,1715904,0,1751
gene0348,CP054425.1,100,3573,0,0,1,3573,1720565,1716993,0,6599
gene0349,CP054425.1,100,600,0,0,1,600,1721166,1720567,0,1109
gene0350,CP054425.1,100,348,0,0,1,348,1721649,1721302,7.90E-180,643
gene0351,CP054425.1,100,345,0,0,1,345,1722034,1721690,3.64E-178,638
gene0352,CP054425.1,100,378,0,0,1,378,1723324,1722947,0,699
gene0353,CP054425.1,100,3243,0,0,1,3243,1726690,1723448,0,5989
gene0354,CP054425.1,100,1188,0,0,1,1188,1726881,1728068,0,2194
gene0355,CP054425.1,100,729,0,0,1,729,1728893,1728165,0,1347
gene0356,CP054425.1,100,582,0,0,1,582,1729528,1728947,0,1075
gene0357,CP054425.1,100,1272,0,0,1,1272,1730796,1729525,0,2350
gene0358,CP054425.1,100,1185,0,0,1,1185,1732195,1731011,0,2189
gene0359,CP054425.1,100,267,0,0,1,267,1732514,1732248,6.23E-135,494
gene0360,CP054425.1,100,1491,0,0,1,1491,1732542,1734032,0,2754
gene0361,CP054425.1,100,1131,0,0,1,1131,1735224,1734094,0,2089
gene0362,CP054425.1,100,462,0,0,1,462,1735703,1735242,0,854
gene0363,CP054425.1,100,117,0,0,1,117,1735846,1735730,5.36E-52,217
gene0364,CP054425.1,100,81,0,0,139,219,1736056,1736136,1.23E-31,150
gene0365,CP054425.1,100,135,0,0,1,135,1736217,1736351,6.45E-62,250
gene0366,CP054425.1,100,375,0,0,1,375,1736722,1736348,0,693
gene0367,CP054425.1,100,660,0,0,1,660,1737723,1737064,0,1219
gene0368,CP054425.1,100,927,0,0,1,927,1738710,1737784,0,1712
gene0369,CP054425.1,100,375,0,0,1,375,1739100,1738726,0,693
gene0370,CP054425.1,100,129,0,0,1,129,1739424,1739552,1.31E-58,239
gene0371,CP054425.1,100,1269,0,0,1,1269,1740333,1741601,0,2344
gene0372,CP054425.1,100,1245,0,0,1,1245,1743687,1742443,0,2300
gene0373,CP054425.1,100,126,0,0,1,126,1744406,1744281,5.91E-57,233
gene0374,CP054425.1,100,648,0,0,1,648,1745578,1744931,0,1197
gene0375,CP054425.1,100,1803,0,0,1,1803,1747377,1745575,0,3330
gene0376,CP054425.1,100,1023,0,0,1,1023,1748399,1747377,0,1890
gene0377,CP054425.1,100,201,0,0,1,201,1748783,1748583,2.19E-98,372
gene0378,CP054425.1,100,147,0,0,1,147,1749104,1748958,1.54E-68,272
gene0379,CP054425.1,100,222,0,0,1,222,1749138,1749359,5.20E-110,411
gene0380,CP054425.1,100,774,0,0,1,774,1750114,1749341,0,1430
gene0381,CP054425.1,100,147,0,0,1,147,1750366,1750220,1.54E-68,272
gene0382,CP054425.1,100,1041,0,0,1,1041,1751411,1750371,0,1923
gene0383,CP010411.1,100,257,0,0,1,257,2501024,2500768,1.91E-128,475
gene0384,CP054425.1,100,1323,0,0,1,1323,1754602,1753280,0,2444
gene0385,CP054425.1,100,768,0,0,1,768,1755495,1754728,0,1419
gene0386,CP054425.1,100,534,0,0,1,534,1756025,1755492,0,987
